"blife_binomial","n_cells","st_area"
"Phonygammus keraudrenii",33856,772127
"Phragmacia substriata",19425,468095
"Phyllolais pulchella",87587,2092115
"Picathartes gymnocephalus",16480,391422
"Picathartes oreas",16098,383738
"Pinarocorys erythropygia",236144,5756943
"Pinarocorys nigricans",147935,3574207
"Plesiodryas albonotata",5879,118081
"Poecile atricapillus",378197,9069680
"Poecile carolinensis",96243,2317945
"Poecile cinctus",444642,10759649
"Poecile davidi",3137,56970
"Poecile gambeli",112449,2711969
"Poecile hudsonicus",297297,7084599
"Poecile hypermelaenus",27141,647839
"Poecile hyrcanus",3430,77652
"Poecile lugubris",55896,1282947
"Poecile montanus",879950,21237713
"Poecile palustris",379913,9061372
"Poecile rufescens",43063,957194
"Poecile sclateri",9029,202693
"Poecile superciliosus",22802,548032
"Poecile weigoldicus",39862,964486
"Poecilodryas brachyura",5439,113985
"Poecilodryas cerviniventris",19789,452694
"Poecilodryas hypoleuca",19165,422444
"Poecilodryas superciliosa",10472,239636
"Poliolais lopezi",1097,23484
"Pseudopodoces humilis",95812,2322535
"Pteridophora alberti",4954,110006
"Quoyornis georgianus",2145,45383
"Ramphocoris clotbey",39499,937323
"Remiz consobrinus",71532,1693560
"Remiz coronatus",162705,3914528
"Remiz pendulinus",519078,12491764
"Rhamphocharis crassirostris",1767,34573
"Rhamphocharis piperata",4285,85163
"Scepomycter winifredae",225,3676
"Schistolais leontica",818,17488
"Schistolais leucopogon",100405,2392931
"Seleucidis melanoleucus",15520,336932
"Semioptera wallacii",759,13412
"Sittiparus castaneoventris",1591,36067
"Sittiparus olivaceus",24,281
"Sittiparus owstoni",19,151
"Sittiparus semilarvatus",2844,55443
"Sittiparus varius",30908,693839
"Sphenoeacus afer",18647,431944
"Spiloptila clamans",113130,2734786
"Spizocorys conirostris",47726,1133028
"Spizocorys fremantlii",24004,570185
"Spizocorys fringillaris",183,3284
"Spizocorys obbiensis",2502,55581
"Spizocorys personata",3265,73769
"Spizocorys sclateri",9703,227206
"Spizocorys starki",30984,738898
"Stenostira scita",46301,1120956
"Struthidea cinerea",103888,2511345
"Sylvietta brachyura",244453,5933781
"Sylvietta chapini",204,4132
"Sylvietta denti",48483,1137638
"Sylvietta isabellina",38026,907833
"Sylvietta leucophrys",7019,157406
"Sylvietta leucopsis",49871,1175490
"Sylvietta philippae",8866,207653
"Sylvietta rufescens",175068,4207769
"Sylvietta ruficapilla",106356,2573111
"Sylvietta virens",157338,3762894
"Sylvietta whytii",78919,1867218
"Sylviparus modestus",36165,840929
"Toxorhamphus novaeguineae",20880,466669
"Toxorhamphus poliopterus",8702,180536
"Tregellasia capito",7002,156190
"Tregellasia leucops",9757,202545
"Urolais epichlorus",2261,49230
"Acritillas indica",9786,220394
"Acrocephalus aequinoctialis",32,231
"Acrocephalus agricola",325262,7863992
"Acrocephalus arundinaceus",1502885,36394933
"Acrocephalus astrolabii",0,0
"Acrocephalus atyphus",400,615
"Acrocephalus australis",266519,6396793
"Acrocephalus bistrigiceps",262594,6265364
"Acrocephalus brevipennis",99,1397
"Acrocephalus caffer",27,268
"Acrocephalus concinens",177090,4261349
"Acrocephalus dumetorum",289647,6976599
"Acrocephalus familiaris",5,5
"Acrocephalus gracilirostris",203694,4837069
"Acrocephalus griseldis",30471,697372
"Acrocephalus hiwae",18,272
"Acrocephalus kerearako",11,74
"Acrocephalus longirostris",13,135
"Acrocephalus luscinius",0,0
"Acrocephalus melanopogon",260929,6186178
"Acrocephalus mendanae",65,597
"Acrocephalus musae",0,0
"Acrocephalus newtoni",24912,594213
"Acrocephalus nijoi",0,0
"Acrocephalus orientalis",371097,8719610
"Acrocephalus orinus",5459,116014
"Acrocephalus paludicola",380647,9187079
"Acrocephalus palustris",766064,18444237
"Acrocephalus percernis",47,481
"Acrocephalus rehsei",4,22
"Acrocephalus rimitarae",2,7
"Acrocephalus rodericanus",12,112
"Acrocephalus rufescens",61338,1409083
"Acrocephalus schoenobaenus",1621434,39274353
"Acrocephalus scirpaceus",1699640,41207428
"Acrocephalus sechellensis",7,5
"Acrocephalus sorghophilus",8882,206037
"Acrocephalus stentoreus",377116,9016180
"Acrocephalus syrinx",114,582
"Acrocephalus taiti",7,45
"Acrocephalus tangorum",40607,973805
"Acrocephalus vaughani",2,5
"Acrocephalus yamashinae",0,0
"Alcurus striatus",47400,1087632
"Alophoixus bres",4114,87716
"Alophoixus flaveolus",24328,562438
"Alophoixus frater",857,13715
"Alophoixus griseiceps",622,13524
"Alophoixus ochraceus",18043,409644
"Alophoixus pallidus",59368,1395409
"Alophoixus phaeocephalus",58843,1378011
"Alophoixus ruficrissus",11120,259647
"Alophoixus tephrogenys",38996,879998
"Alopochelidon fucata",182411,4431746
"Andropadus importunus",57497,1346359
"Arizelocichla chlorigula",2347,51232
"Arizelocichla fusciceps",1263,25532
"Arizelocichla masukuensis",7672,164806
"Arizelocichla milanjensis",1878,42599
"Arizelocichla montana",2802,61731
"Arizelocichla neumanni",197,3895
"Arizelocichla nigriceps",10911,250116
"Arizelocichla striifacies",8689,193755
"Arizelocichla tephrolaema",2670,59882
"Arundinax aedon",602917,14652455
"Atimastillas flavicollis",70315,1693792
"Atimastillas flavigula",188178,4547767
"Atronanus fuliginosus",13142,308908
"Atticora fasciata",269206,6554590
"Atticora pileata",3360,75708
"Atticora tibialis",174346,4209078
"Baeopogon clamans",35980,855702
"Baeopogon indicator",177752,4308876
"Bathmocercus cerviniventris",11523,272851
"Bathmocercus rufus",27547,642335
"Bernieria madagascariensis",19128,448327
"Bleda canicapillus",45862,1101107
"Bleda eximius",14365,341523
"Bleda notatus",28246,679092
"Bleda syndactylus",147518,3550985
"Bleda ugandae",63755,1540790
"Brachypodius atriceps",127634,2986392
"Brachypodius fuscoflavescens",183,3216
"Brachypodius priocephalus",4416,99925
"Bradypterus baboecala",127986,3056728
"Bradypterus bangwaensis",435,6976
"Bradypterus barratti",9911,228124
"Bradypterus brunneus",2986,52664
"Bradypterus carpalis",5355,116894
"Bradypterus centralis",18637,423091
"Bradypterus cinnamomeus",22860,517375
"Bradypterus grandis",609,12533
"Bradypterus graueri",1211,19928
"Bradypterus lopezi",19286,426892
"Bradypterus seebohmi",12693,292385
"Bradypterus sylvaticus",499,8851
"Calamonastides bensoni",310,6088
"Calamonastides gracilirostris",4418,93691
"Calyptocichla serinus",55667,1323708
"Catriscus brevirostris",119336,2822480
"Cecropis abyssinica",566819,13760405
"Cecropis cucullata",228364,5564163
"Cecropis daurica",900590,21378241
"Cecropis hyperythra",2945,66265
"Cecropis semirufa",370506,8966553
"Cecropis senegalensis",534500,12993803
"Cheramoeca leucosterna",215328,5236172
"Chlorocichla falkensteini",41208,985296
"Chlorocichla flaviventris",166064,4009175
"Chlorocichla laetissima",6318,137933
"Chlorocichla prigoginei",60,874
"Chlorocichla simplex",166193,4030038
"Cincloramphus bivittatus",1262,25954
"Cincloramphus cruralis",263592,6413835
"Cincloramphus grosvenori",158,2397
"Cincloramphus llaneae",60,820
"Cincloramphus macrurus",31987,743532
"Cincloramphus mariae",809,16471
"Cincloramphus mathewsi",276225,6696254
"Cincloramphus rubiginosus",1645,33985
"Cincloramphus rufus",782,14423
"Cincloramphus timoriensis",93344,2138493
"Cincloramphus turipavae",43,459
"Cincloramphus whitneyi",51,546
"Cisticola aridulus",187625,4492051
"Cisticola ayresii",54361,1266130
"Cisticola brunnescens",20822,468442
"Cisticola cherina",24917,594221
"Cisticola cinnamomeus",48137,1137233
"Cisticola dambo",20099,475760
"Cisticola exilis",308945,7214854
"Cisticola eximius",29297,678408
"Cisticola haesitatus",90,801
"Cisticola juncidis",807612,19019078
"Cisticola melanurus",18476,444797
"Cisticola textrix",29922,705682
"Criniger barbatus",0,0
"Criniger calurus",0,0
"Criniger chloronotus",50601,1213041
"Criniger ndussumensis",60949,1465391
"Criniger olivaceus",10240,240673
"Crossleyia tenebrosa",1060,16041
"Crossleyia xanthophrys",1624,22840
"Cryptosylvicola randrianasoloi",5199,115703
"Delichon dasypus",480222,11444362
"Delichon lagopodum",475413,11573294
"Delichon nipalense",23487,545390
"Delichon urbicum",1582074,38232835
"Donacobius atricapilla",358141,8673594
"Elaphrornis palliseri",210,3831
"Euptilotus eutilotus",42334,938899
"Eurillas ansorgei",78191,1870722
"Eurillas curvirostris",146184,3525989
"Eurillas gracilis",0,0
"Eurillas latirostris",153797,3706719
"Eurillas virens",240139,5804645
"Eurochelidon sirintarae",37171,899944
"Hartertula flavoviridis",3300,67187
"Helopsaltes amnicola",36652,794528
"Helopsaltes certhiola",765016,18546301
"Helopsaltes fasciolatus",175917,4191711
"Helopsaltes ochotensis",85914,1897450
"Helopsaltes pleskei",857,5572
"Helopsaltes pryeri",10198,227498
"Hemixos castanonotus",41292,984235
"Hemixos cinereus",9775,214856
"Hemixos connectens",8752,198623
"Hemixos flavala",47689,1103816
"Hemixos leucogrammicus",3271,63470
"Hippolais icterina",1223647,29701360
"Hippolais languida",419650,10132865
"Hippolais olivetorum",554994,13427473
"Hippolais polyglotta",436122,10593637
"Hirundo aethiopica",199901,4794407
"Hirundo albigularis",161907,3916306
"Hirundo angolensis",71312,1677456
"Hirundo atrocaerulea",69628,1671108
"Hirundo dimidiata",153435,3701109
"Hirundo javanica",155781,3438059
"Hirundo leucosoma",58362,1399298
"Hirundo lucida",94663,2272834
"Hirundo megaensis",535,11549
"Hirundo neoxena",251831,6052104
"Hirundo nigrita",167466,4067510
"Hirundo nigrorufa",24441,584682
"Hirundo rustica",3934191,94870896
"Hirundo smithii",628409,15222693
"Hirundo tahitica",87,1215
"Hypsipetes affinis",893,18132
"Hypsipetes amaurotis",32208,1311003
"Hypsipetes aureus",82,760
"Hypsipetes borbonicus",130,2554
"Hypsipetes catarmanensis",21,255
"Hypsipetes chloris",1230,23137
"Hypsipetes crassirostris",43,246
"Hypsipetes everetti",5408,116591
"Hypsipetes ganeesa",10330,239358
"Hypsipetes harterti",148,2365
"Hypsipetes haynaldi",146,1732
"Hypsipetes leucocephalus",206148,4976940
"Hypsipetes longirostris",276,4669
"Hypsipetes lucasi",130,2554
"Hypsipetes madagascariensis",25017,594482
"Hypsipetes moheliensis",24,215
"Hypsipetes mysticalis",398,8377
"Hypsipetes olivaceus",104,1882
"Hypsipetes parvirostris",31,487
"Hypsipetes philippinus",11393,233457
"Hypsipetes platenae",3,6
"Hypsipetes rufigularis",1146,22134
"Hypsipetes siquijorensis",301,5050
"Hypsipetes thompsoni",8645,197452
"Iduna caligata",414413,10096206
"Iduna natalensis",158159,3765468
"Iduna opaca",326455,7957956
"Iduna pallida",823000,19909365
"Iduna rama",245302,5893538
"Iduna similis",12578,285528
"Iole charlottae",50989,1138749
"Iole finschii",35277,785040
"Iole palawanensis",639,11566
"Iole propinqua",52812,1244079
"Iole viridescens",13359,294545
"Ixidia cyaniventris",42125,932990
"Ixidia erythropthalmos",54758,1249783
"Ixidia squamata",14509,300730
"Ixonotus guttatus",116861,2809181
"Ixos malaccensis",44552,982759
"Ixos mcclellandii",101568,2402362
"Ixos nicobariensis",60,476
"Ixos sumatranus",3185,63604
"Ixos virescens",870,14626
"Locustella accentor",21,136
"Locustella alfredi",4338,92057
"Locustella alishanensis",947,20679
"Locustella castanea",2254,30015
"Locustella caudata",1390,24765
"Locustella chengi",13626,315518
"Locustella davidi",57804,1358764
"Locustella disturbans",80,1250
"Locustella fluviatilis",1226798,29772596
"Locustella kashmirensis",2458,56633
"Locustella lanceolata",691160,16636401
"Locustella luscinioides",281824,6644577
"Locustella luteoventris",71935,1717326
"Locustella major",3333,73159
"Locustella mandelli",82348,1980922
"Locustella montis",482,8982
"Locustella musculus",88,975
"Locustella naevia",396513,9434515
"Locustella portenta",19,142
"Locustella seebohmi",413,7144
"Locustella tacsanowskia",360964,8759963
"Locustella thoracica",55004,1328075
"Malia grata",2206,44258
"Megalurus palustris",98117,2269787
"Microtarsus melanoleucos",51402,1189521
"Neolestes torquatus",34545,819135
"Neophedina cincta",474704,11514153
"Nesillas aldabrana",0,0
"Nesillas brevicaudata",65,1038
"Nesillas lantzii",3111,70039
"Nesillas mariae",19,211
"Nesillas typica",22035,523307
"Nok hualon",1204,25359
"Orochelidon andecola",21382,508078
"Orochelidon flavipes",6295,128750
"Orochelidon murina",18912,428607
"Orthotomus atrogularis",117717,2769074
"Orthotomus castaneiceps",1689,33314
"Orthotomus chaktomuk",425,7961
"Orthotomus chloronotus",3966,90076
"Orthotomus cinereiceps",1017,20784
"Orthotomus derbianus",3565,72648
"Orthotomus frontalis",5681,121328
"Orthotomus nigriceps",1255,24621
"Orthotomus ruficeps",39879,893284
"Orthotomus samarensis",1000,18411
"Orthotomus sepium",6317,141186
"Orthotomus sericeus",48194,1075642
"Orthotomus sutorius",286081,6883050
"Oxylabes madagascariensis",7621,173664
"Petrochelidon ariel",225380,5393664
"Petrochelidon fluvicola",112425,2712708
"Petrochelidon fulva",45693,1057872
"Petrochelidon nigricans",339887,8082718
"Petrochelidon perdita",4,11
"Petrochelidon preussi",92953,2239856
"Petrochelidon pyrrhonota",1105407,26735629
"Petrochelidon rufigula",53999,1306276
"Petrochelidon rufocollaris",5006,110616
"Petrochelidon spilodera",151268,3679655
"Phedina borbonica",26542,627603
"Phedinopsis brazzae",16972,405729
"Phyllastrephus albigula",350,6841
"Phyllastrephus albigularis",89936,2150937
"Phyllastrephus baumanni",19070,449302
"Phyllastrephus cabanisi",0,0
"Phyllastrephus cerviniventris",49134,1177289
"Phyllastrephus debilis",8939,200860
"Phyllastrephus fischeri",11786,272604
"Phyllastrephus flavostriatus",19661,446873
"Phyllastrephus fulviventris",6582,153038
"Phyllastrephus hypochloris",6255,135564
"Phyllastrephus icterinus",103651,2489524
"Phyllastrephus lorenzi",1792,39578
"Phyllastrephus poensis",2076,44663
"Phyllastrephus poliocephalus",1485,32430
"Phyllastrephus strepitans",56661,1356204
"Phyllastrephus terrestris",102454,2448128
"Phyllastrephus viridiceps",678,14415
"Phyllastrephus xavieri",40760,975078
"Phylloscopus affinis",249264,6059254
"Phylloscopus armandii",191014,4644732
"Phylloscopus bonelli",427445,10402953
"Phylloscopus borealis",638480,15263654
"Phylloscopus budongoensis",8071,177884
"Phylloscopus burkii",58646,1420477
"Phylloscopus canariensis",301,5029
"Phylloscopus castaniceps",136867,3289867
"Phylloscopus cebuensis",5636,121876
"Phylloscopus chloronotus",19855,453792
"Phylloscopus collybita",1137283,27472827
"Phylloscopus coronatus",274836,6490359
"Phylloscopus emeiensis",1038,21925
"Phylloscopus examinandus",116446,2557670
"Phylloscopus forresti",46804,1128003
"Phylloscopus fuligiventer",49221,1185121
"Phylloscopus fuscatus",833752,20218639
"Phylloscopus grammiceps",943,17508
"Phylloscopus griseolus",303059,7393605
"Phylloscopus herberti",2333,50998
"Phylloscopus humei",277957,6725092
"Phylloscopus ibericus",179265,4351478
"Phylloscopus ijimae",7677,159999
"Phylloscopus inornatus",1041578,25229420
"Phylloscopus intermedius",28157,661232
"Phylloscopus kansuensis",6690,157758
"Phylloscopus laetus",3813,82179
"Phylloscopus laurae",15574,366695
"Phylloscopus maculipennis",41398,975784
"Phylloscopus montis",16567,372108
"Phylloscopus neglectus",133395,3232905
"Phylloscopus nitidus",192809,4642098
"Phylloscopus olivaceus",6321,134469
"Phylloscopus omeiensis",55250,1325773
"Phylloscopus orientalis",164183,3957635
"Phylloscopus plumbeitarsus",301084,7214811
"Phylloscopus poliogenys",44258,1054015
"Phylloscopus proregulus",412631,9988460
"Phylloscopus pulcher",64699,1528205
"Phylloscopus ruficapilla",18918,425528
"Phylloscopus schwarzi",348164,8419238
"Phylloscopus sibilatrix",993841,24057946
"Phylloscopus sindianus",191235,4647090
"Phylloscopus soror",45398,1079687
"Phylloscopus subaffinis",140591,3414390
"Phylloscopus subviridis",22443,525647
"Phylloscopus sumatrensis",1314,23131
"Phylloscopus tephrocephalus",58165,1387752
"Phylloscopus tristis",620149,15073900
"Phylloscopus trochiloides",918046,22310718
"Phylloscopus trochilus",2469492,60003726
"Phylloscopus tytleri",59025,1423753
"Phylloscopus umbrovirens",27412,615849
"Phylloscopus valentini",33101,784450
"Phylloscopus whistleri",31882,760037
"Phylloscopus xanthodryas",105861,2317785
"Phylloscopus yunnanensis",20489,468331
"Pnoepyga albiventer",25359,590346
"Pnoepyga formosana",789,17127
"Pnoepyga immaculata",4432,98295
"Pnoepyga pusilla",154546,3702156
"Poliolophus urostictus",10149,208965
"Poodytes albolimbatus",156,2405
"Poodytes carteri",78176,1890831
"Poodytes caudatus",2,3
"Poodytes gramineus",136644,3289652
"Poodytes punctatus",8991,196605
"Poodytes rufescens",0,0
"Prinia atrogularis",3946,90467
"Prinia bairdii",47223,1117956
"Prinia buchanani",79950,1908028
"Prinia cinereocapilla",1585,33149
"Prinia crinigera",119076,2853925
"Prinia erythroptera",146341,3507918
"Prinia familiaris",21977,500475
"Prinia flavicans",112329,2730037
"Prinia flaviventris",170771,4060016
"Prinia fluviatilis",4408,99147
"Prinia gracilis",171874,4051113
"Prinia hodgsonii",195835,4703790
"Prinia hypoxantha",9305,219517
"Prinia inornata",308282,7437559
"Prinia khasiana",5283,122536
"Prinia maculosa",24377,583422
"Prinia molleri",55,864
"Prinia polychroa",31851,738238
"Prinia rufescens",94175,2225214
"Prinia rufifrons",53244,1250958
"Prinia socialis",114694,2771867
"Prinia somalica",53312,1281498
"Prinia sonitans",40341,959287
"Prinia subflava",604810,14700763
"Prinia superciliaris",74452,1772037
"Prinia sylvatica",94120,2278160
"Progne chalybea",647078,15719048
"Progne cryptoleuca",5008,110378
"Progne dominicensis",5048,103150
"Progne elegans",208829,5074009
"Progne modesta",455,7824
"Progne murphyi",6419,135534
"Progne sinaloae",8482,197911
"Progne subis",881063,21285696
"Progne tapera",600296,14633244
"Psalidoprocne albiceps",49129,1154552
"Psalidoprocne fuliginosa",1033,22294
"Psalidoprocne nitens",120258,2909650
"Psalidoprocne obscura",61508,1478319
"Psalidoprocne pristoptera",342574,8329834
"Pseudhirundo griseopyga",235560,5618347
"Pseudochelidon eurystomina",23821,561268
"Ptyonoprogne concolor",114036,2741327
"Ptyonoprogne fuligula",110304,2669779
"Ptyonoprogne obsoleta",308200,7373224
"Ptyonoprogne rufigula",225282,5416959
"Ptyonoprogne rupestris",537845,12907649
"Pycnonotus aurigaster",157968,3768725
"Pycnonotus barbatus",807769,19689780
"Pycnonotus blanfordi",52270,1247434
"Pycnonotus brunneus",50608,1145804
"Pycnonotus cafer",177775,4261436
"Pycnonotus capensis",6620,152259
"Pycnonotus cinereifrons",777,13300
"Pycnonotus davisoni",4709,105952
"Pycnonotus finlaysoni",53260,1261271
"Pycnonotus flavescens",39478,921572
"Pycnonotus goiavier",93870,2156485
"Pycnonotus jocosus",219951,5283570
"Pycnonotus leucogenys",16204,378979
"Pycnonotus leucops",2497,55020
"Pycnonotus leucotis",92775,2214584
"Pycnonotus luteolus",57981,1394310
"Pycnonotus nieuwenhuisii",2523,56972
"Pycnonotus nigricans",90780,2203930
"Pycnonotus penicillatus",296,4952
"Pycnonotus plumosus",66051,1516376
"Pycnonotus pseudosimplex",3634,81216
"Pycnonotus simplex",59342,1349783
"Pycnonotus sinensis",144577,3473217
"Pycnonotus snouckaerti",492,9609
"Pycnonotus taivanus",368,7309
"Pycnonotus tympanistrigus",4684,97808
"Pycnonotus xantholaemus",15261,364893
"Pycnonotus xanthopygos",56018,1319004
"Pycnonotus xanthorrhous",73812,1748061
"Pygochelidon cyanoleuca",430537,10418042
"Pygochelidon melanoleuca",89130,2144549
"Pyrrhurus scandens",137118,3290942
"Randia pseudozosterops",6584,150290
"Riparia chinensis",158936,3792438
"Riparia congica",7300,165432
"Riparia cowani",8764,204641
"Riparia diluta",456982,11097412
"Riparia paludicola",297503,7131323
"Riparia riparia",2979579,71929460
"Robsonius rabori",306,5390
"Robsonius sorsogonensis",728,13105
"Robsonius thompsoni",874,17548
"Rubigula dispar",20295,449484
"Rubigula flaviventris",93470,2198935
"Rubigula gularis",3729,82502
"Rubigula melanictera",2763,62613
"Rubigula montis",9906,229820
"Schoenicola platyurus",1951,40028
"Schoenicola striatus",50565,1195350
"Setornis criniger",24020,548156
"Spizixos canifrons",48329,1167591
"Spizixos semitorques",96721,2336545
"Stelgidillas gracilirostris",158925,3832646
"Stelgidopteryx ridgwayi",12300,291374
"Stelgidopteryx ruficollis",571927,13914695
"Stelgidopteryx serripennis",478778,11502534
"Tachycineta albilinea",33923,759159
"Tachycineta albiventer",485234,11815465
"Tachycineta bicolor",727771,17482175
"Tachycineta cyaneoviridis",1385,14796
"Tachycineta euchrysea",838,14096
"Tachycineta leucorrhoa",263276,6417653
"Tachycineta meyeni",170017,4078259
"Tachycineta stolzmanni",1955,43792
"Tachycineta thalassina",272985,6584081
"Thamnornis chloropetoides",3068,69952
"Thescelocichla leucopleura",135105,3261673
"Tricholestes criniger",53723,1228554
"Xanthomixis apperti",95,1533
"Xanthomixis cinereiceps",7180,164684
"Xanthomixis zosterops",9157,211200
"Abroscopus albogularis",73126,1712104
"Abroscopus schisticeps",38350,912669
"Abroscopus superciliaris",109426,2508058
"Acanthoptila nipalensis",1391,28872
"Aegithalos annamensis",3602,83611
"Aegithalos bonvaloti",6873,148502
"Aegithalos caudatus",768497,18385014
"Aegithalos concinnus",116162,2808371
"Aegithalos fuliginosus",9407,217367
"Aegithalos glaucogularis",74517,1799984
"Aegithalos iouschistos",3402,68457
"Aegithalos iredalei",12471,288419
"Aegithalos leucogenys",12458,290148
"Aegithalos niveogularis",8002,181139
"Alcippe brunneicauda",33806,769845
"Alcippe grotei",10149,232397
"Alcippe morrisonia",129075,3116613
"Alcippe nipalensis",0,0
"Alcippe peracensis",6460,149035
"Alcippe poioicephala",86899,2034290
"Alcippe pyrrhoptera",1135,25012
"Apalopteron familiare",11,24
"Argya affinis",31299,750122
"Argya altirostris",6605,149624
"Argya aylmeri",44672,1062342
"Argya caudata",133140,3203993
"Argya cinereifrons",591,11995
"Argya earlei",43793,1028940
"Argya fulva",154192,3684637
"Argya gularis",9294,217543
"Argya longirostris",1339,28777
"Argya malcolmi",79736,1931433
"Argya rubiginosa",59765,1419457
"Argya rufescens",569,12251
"Argya somervillei",1441,31561
"Argya squamiceps",53751,1279075
"Argya striata",128936,3114693
"Argya subrufa",7743,178996
"Cettia brunnifrons",57641,1382951
"Cettia castaneocoronata",82569,1987738
"Cettia cetti",250116,5836305
"Cettia major",70577,1707639
"Chamaea fasciata",10841,246475
"Chrysomma altirostre",2330,47536
"Chrysomma sinense",181196,4352996
"Cleptornis marchei",20,138
"Curruca balearica",252,4306
"Curruca boehmi",32055,762761
"Curruca buryi",2772,62771
"Curruca cantillans",502564,12149253
"Curruca communis",1743431,42278156
"Curruca conspicillata",190502,4560238
"Curruca crassirostris",286529,6791759
"Curruca curruca",1508934,36613104
"Curruca deserti",167202,4080092
"Curruca deserticola",124239,3015240
"Curruca hortensis",387921,9425751
"Curruca layardi",32720,782885
"Curruca leucomelaena",23952,549993
"Curruca lugens",17465,404126
"Curruca melanocephala",182418,4238237
"Curruca melanothorax",7189,149996
"Curruca mystacea",330649,7980229
"Curruca nana",408355,9816909
"Curruca nisoria",517021,12449735
"Curruca ruppeli",224300,5429053
"Curruca sarda",9162,205992
"Curruca subalpina",295496,7198101
"Curruca subcoerulea",122474,2974093
"Curruca undata",61594,1423203
"Cutia legalleni",1295,28576
"Cutia nipalensis",36075,852675
"Cyanoderma bicolor",30328,712133
"Cyanoderma chrysaeum",44346,1025664
"Cyanoderma erythropterum",26442,597361
"Cyanoderma melanothorax",2929,62920
"Cyanoderma pyrrhops",7594,174667
"Cyanoderma ruficeps",91868,2214285
"Cyanoderma rufifrons",101670,2399637
"Dasycrotapha plateni",2367,49408
"Dasycrotapha pygmaea",385,6538
"Dasycrotapha speciosa",1170,23552
"Dumetia atriceps",10001,230996
"Dumetia hyperythra",87772,2122042
"Erythrocercus holochlorus",8098,186373
"Erythrocercus livingstonei",47633,1139812
"Erythrocercus mccallii",90944,2180700
"Erythrogenys erythrocnemis",1240,25841
"Erythrogenys erythrogenys",17425,402439
"Erythrogenys gravivox",83158,2017695
"Erythrogenys hypoleucos",34509,792786
"Erythrogenys mcclellandi",12187,285992
"Erythrogenys swinhoei",30982,750445
"Fulvetta cinereiceps",40994,977019
"Fulvetta danisi",1267,26740
"Fulvetta formosana",428,8632
"Fulvetta ludlowi",2291,37110
"Fulvetta manipurensis",10260,240382
"Fulvetta ruficapilla",23252,554631
"Fulvetta striaticollis",18424,428887
"Fulvetta vinipectus",25338,561511
"Gampsorhynchus rufulus",19362,455684
"Gampsorhynchus torquatus",20519,478796
"Garrulax annamensis",464,8090
"Garrulax canorus",78658,1875425
"Garrulax castanotis",4948,113604
"Garrulax ferrarius",96,1259
"Garrulax leucolophus",73215,1723802
"Garrulax maesi",30374,728823
"Garrulax merulinus",21158,500952
"Garrulax milleti",1149,24332
"Garrulax monileger",105810,2508843
"Garrulax palliatus",6080,129948
"Garrulax rufifrons",308,4803
"Garrulax strepitans",10556,248610
"Garrulax taewanus",1203,23999
"Graminicola bengalensis",7632,175252
"Graminicola striatus",16390,390205
"Grammatoptila striata",14152,319096
"Gypsophila annamensis",11169,262611
"Gypsophila brevicaudata",51019,1197021
"Gypsophila calcicola",186,3300
"Gypsophila crassa",1681,35227
"Gypsophila crispifrons",3118,72319
"Gypsophila rufipecta",3516,74093
"Heleia crassirostris",1435,28457
"Heleia dohertyi",1414,27841
"Heleia goodfellowi",352,3481
"Heleia javanica",859,13349
"Heleia muelleri",1305,53812
"Heleia pinaiae",52,501
"Heleia squamiceps",1876,27993
"Heleia squamifrons",4772,82524
"Heleia superciliaris",183,2065
"Heleia wallacei",2096,37973
"Hemitesia neumanni",1954,37334
"Hemitesia pallidipes",51614,1234355
"Horornis acanthizoides",13512,312833
"Horornis annae",50,446
"Horornis brunnescens",9642,216704
"Horornis canturians",145092,3470020
"Horornis carolinae",182,3247
"Horornis diphone",20285,430973
"Horornis flavolivaceus",80509,1904321
"Horornis fortipes",119335,2845717
"Horornis haddeni",65,553
"Horornis parens",31,204
"Horornis ruficapilla",906,16985
"Horornis seebohmi",724,14437
"Hylia prasina",172476,4171727
"Ianthocincla bieti",1256,28508
"Ianthocincla cineracea",5721,131079
"Ianthocincla cinereiceps",86691,2103109
"Ianthocincla konkakinhensis",675,27392
"Ianthocincla lunulata",9302,214858
"Ianthocincla maxima",24417,531784
"Ianthocincla ocellata",42928,1008615
"Ianthocincla rufogularis",11775,261237
"Ianthocincla sukatschewi",1413,28593
"Illadopsis albipectus",51139,1223732
"Illadopsis cleaveri",0,0
"Illadopsis distans",4029,93043
"Illadopsis fulvescens",120655,2874385
"Illadopsis puveli",27517,635449
"Illadopsis pyrrhoptera",6755,146556
"Illadopsis rufescens",11537,265915
"Illadopsis rufipennis",85244,2042643
"Illadopsis turdina",10136,232670
"Kenopia striata",50887,1184466
"Kupeornis chapini",2139,44242
"Kupeornis gilberti",122,1672
"Kupeornis rufocinctus",1995,41679
"Laticilla burnesii",14085,333181
"Laticilla cinerascens",4416,100963
"Leonardina woodi",1516,30283
"Leptopoecile elegans",35081,817062
"Leptopoecile sophiae",62677,1453296
"Lioparus chrysotis",56107,1327304
"Macronus ptilosus",20940,447321
"Macronus striaticeps",5410,110536
"Malacocincla abbotti",89586,2085253
"Malacocincla perspicillata",1,1
"Malacocincla sepiaria",43867,976259
"Malacopteron affine",18230,390497
"Malacopteron albogulare",0,0
"Malacopteron cinereum",66336,1536212
"Malacopteron magnirostre",56510,1321717
"Malacopteron magnum",30110,671407
"Malacopteron palawanense",291,3530
"Megazosterops palauensis",44,416
"Melanocichla calva",1271,25508
"Melanocichla lugubris",1976,41852
