"blife_binomial","n_cells","st_area"
"Aythya nyroca",1488201,36201323
"Aythya valisineria",456941,10995694
"Biziura lobata",114357,2745635
"Branta bernicla",227008,4844154
"Branta canadensis",686801,16339954
"Branta hutchinsii",573876,13802189
"Branta leucopsis",13096,258249
"Branta ruficollis",123859,2957372
"Branta sandvicensis",165,1599
"Bucephala albeola",644813,15695350
"Bucephala clangula",1541345,37036806
"Bucephala islandica",144784,4895465
"Cairina moschata",624745,15084268
"Callonetta leucophrys",133176,3231891
"Camptorhynchus labradorius",0,0
"Cereopsis novaehollandiae",26381,597189
"Chauna chavaria",5200,115136
"Chauna torquata",157994,3842493
"Chenonetta finschi",0,0
"Chenonetta jubata",249190,6020100
"Chloephaga hybrida",13103,219313
"Chloephaga melanoptera",48539,1164318
"Chloephaga picta",69004,1584244
"Chloephaga poliocephala",71172,1645712
"Chloephaga rubidiceps",11244,248314
"Clangula hyemalis",609308,14139310
"Coscoroba coscoroba",170442,4108713
"Cyanochen cyanoptera",15143,363564
"Cygnus atratus",294122,7055564
"Cygnus buccinator",70792,1609820
"Cygnus columbianus",588790,13895513
"Cygnus cygnus",801969,19256626
"Cygnus melancoryphus",153569,3628155
"Cygnus olor",264100,6108394
"Dendrocygna arborea",6321,116173
"Dendrocygna arcuata",212412,4919345
"Dendrocygna autumnalis",397020,9529569
"Dendrocygna bicolor",780654,18783300
"Dendrocygna eytoni",198964,4799487
"Dendrocygna guttata",42735,939313
"Dendrocygna javanica",301842,7199482
"Dendrocygna viduata",1134771,27574851
"Heteronetta atricapilla",81413,1960411
"Histrionicus histrionicus",467936,11142837
"Hymenolaimus malacorhynchos",8885,199929
"Lophodytes cucullatus",369715,8849877
"Lophonetta specularioides",79390,1861095
"Malacorhynchus membranaceus",289854,7027054
"Mareca americana",631183,15066090
"Mareca falcata",499103,12016611
"Mareca penelope",1222968,29250881
"Mareca sibilatrix",150222,3572952
"Mareca strepera",1440031,34588234
"Marmaronetta angustirostris",515726,12526365
"Melanitta americana",273151,6230608
"Melanitta deglandi",289106,6900094
"Melanitta fusca",244803,5813626
"Melanitta nigra",219390,5151282
"Melanitta perspicillata",284897,6732431
"Melanitta stejnegeri",355845,8575515
"Merganetta armata",47633,1095629
"Mergellus albellus",581512,13972975
"Mergus australis",0,0
"Mergus merganser",1471422,35329702
"Mergus octosetaceus",54666,1321109
"Mergus serrator",1556964,37173168
"Mergus squamatus",94019,2245064
"Neochen jubata",327149,7984804
"Netta erythrophthalma",441736,10673358
"Netta peposaca",218542,5236862
"Netta rufina",372845,8929917
"Nettapus auritus",734153,17861473
"Nettapus coromandelianus",387064,9273437
"Nettapus pulchellus",80228,1865966
"Nomonyx dominicus",356945,8558470
"Oxyura australis",137069,3308599
"Oxyura ferruginea",91834,2163356
"Oxyura jamaicensis",519621,12469545
"Oxyura leucocephala",451042,10913300
"Oxyura maccoa",48202,1138907
"Oxyura vittata",130232,3146869
"Plectropterus gambensis",651995,15865235
"Polysticta stelleri",152221,3530937
"Pteronetta hartlaubii",177409,4311637
"Radjah radjah",94625,2186282
"Rhodonessa caryophyllacea",2,1
"Salvadorina waigiuensis",14766,341666
"Sarkidiornis melanotos",775368,18805836
"Sarkidiornis sylvicola",400250,9735467
"Sibirionetta formosa",545005,13223811
"Somateria fischeri",41691,967061
"Somateria mollissima",713810,16397676
"Somateria spectabilis",326467,7301142
"Spatula clypeata",2091767,50184782
"Spatula cyanoptera",372682,8865009
"Spatula discors",664660,15887990
"Spatula hottentota",323178,7799406
"Spatula platalea",125699,2954327
"Spatula puna",29033,694791
"Spatula querquedula",1420603,34227639
"Spatula rhynchotis",186867,4471293
"Spatula smithii",100850,2441171
"Spatula versicolor",162431,3853227
"Speculanas specularis",48898,1109462
"Stictonetta naevosa",243603,5923887
"Tachyeres brachypterus",835,12015
"Tachyeres leucocephalus",2288,49160
"Tachyeres patachonicus",44581,1006696
"Tachyeres pteneres",15966,349913
"Tadorna cana",67619,1637741
"Tadorna cristata",47,342
"Tadorna ferruginea",1004147,24450631
"Tadorna tadorna",474129,11207339
"Tadorna tadornoides",138795,3310318
"Tadorna variegata",12052,269037
"Thalassornis leuconotus",416362,10089374
"Aceros nipalensis",20997,486935
"Anorrhinus austeni",33109,778319
"Anorrhinus galeritus",58988,1391167
"Anorrhinus tickelli",6928,161178
"Anthracoceros albirostris",188623,4492337
"Anthracoceros coronatus",29565,705131
"Anthracoceros malayanus",35817,803914
"Anthracoceros marchei",796,12945
"Anthracoceros montani",125,1635
"Berenicornis comatus",51667,1186936
"Buceros bicornis",124494,2967468
