"blife_id","blife_binomial","blife_order","blife_family","blife_iucn_status","ref_binomial","ref_order","ref_family","ref_id","method"
22726816,"Schistes geoffroyi","Caprimulgiformes","Trochilidae","LC","Schistes geoffroyi","Caprimulgiformes","Trochilidae",22726816,"Match by ID"
22726824,"Schistes albogularis","Caprimulgiformes","Trochilidae","LC","Schistes albogularis","Caprimulgiformes","Trochilidae",22726824,"Match by ID"
22726830,"Trogon elegans","Trogoniformes","Trogonidae","LC","Trogon elegans","Trogoniformes","Trogonidae",22726830,"Match by ID"
22726838,"Trogon ambiguus","Trogoniformes","Trogonidae","LC","Trogon ambiguus","Trogoniformes","Trogonidae",22726838,"Match by ID"
22726844,"Actenoides monachus","Coraciiformes","Alcedinidae","NT","Actenoides monachus","Coraciiformes","Alcedinidae",22726844,"Match by ID"
22726852,"Actenoides capucinus","Coraciiformes","Alcedinidae","NT","Actenoides capucinus","Coraciiformes","Alcedinidae",22726852,"Match by ID"
22726889,"Cittura cyanotis","Coraciiformes","Alcedinidae","LC","Cittura cyanotis","Coraciiformes","Alcedinidae",22726889,"Match by ID"
22726899,"Cittura sanghirensis","Coraciiformes","Alcedinidae","NT","Cittura sanghirensis","Coraciiformes","Alcedinidae",22726899,"Match by ID"
22726905,"Lacedo pulchella","Coraciiformes","Alcedinidae","LC","Lacedo pulchella","Coraciiformes","Alcedinidae",22726905,"Match by ID"
22726913,"Lacedo melanops","Coraciiformes","Alcedinidae","LC","Lacedo melanops","Coraciiformes","Alcedinidae",22726913,"Match by ID"
22726919,"Todiramphus veneratus","Coraciiformes","Alcedinidae","NT","Todiramphus veneratus","Coraciiformes","Alcedinidae",22726919,"Match by ID"
22726929,"Todiramphus youngi","Coraciiformes","Alcedinidae","VU","Todiramphus youngi","Coraciiformes","Alcedinidae",22726929,"Match by ID"
22726935,"Ceyx argentatus","Coraciiformes","Alcedinidae","NT","Ceyx argentatus","Coraciiformes","Alcedinidae",22726935,"Match by ID"
22726943,"Ceyx flumenicola","Coraciiformes","Alcedinidae","NT","Ceyx flumenicola","Coraciiformes","Alcedinidae",22726943,"Match by ID"
22726949,"Ceyx cyanopectus","Coraciiformes","Alcedinidae","LC","Ceyx cyanopectus","Coraciiformes","Alcedinidae",22726949,"Match by ID"
