"ref_binomial";"ref_id";"ref_kingdom";"ref_phylum";"ref_class";"ref_order";"ref_family";"ref_genus"
"Ithaginis cruentus";"22679144";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Ithaginis"
"Tragopan satyra";"22679157";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Tragopan"
"Tragopan temminckii";"22679169";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Tragopan"
"Pucrasia macrolopha";"22679179";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Pucrasia"
"Lophophorus impejanus";"22679182";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Lophophorus"
"Lophophorus sclateri";"22679185";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Lophophorus"
"Lophophorus lhuysii";"22679192";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Lophophorus"
"Gallus gallus";"22679199";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Gallus"
"Gallus sonneratii";"22679203";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Gallus"
"Gallus lafayettii";"22679209";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Gallus"
"Lophura leucomelanos";"22679217";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Lophura"
"Lophura nycthemera";"22679220";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Lophura"
"Lophura diardi";"22679274";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Lophura"
"Lophura bulweri";"22679278";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Lophura"
"Crossoptilon crossoptilon";"22679292";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Crossoptilon"
"Crossoptilon mantchuricum";"22679299";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Crossoptilon"
"Crossoptilon auritum";"22679307";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Crossoptilon"
"Syrmaticus ellioti";"22679325";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Syrmaticus"
"Syrmaticus humiae";"22679330";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Syrmaticus"
"Syrmaticus mikado";"22679336";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Syrmaticus"
"Syrmaticus soemmerringii";"22679340";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Syrmaticus"
"Polyplectron chalcurum";"22679361";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Polyplectron"
"Polyplectron inopinatum";"22679365";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Polyplectron"
"Polyplectron germaini";"22679372";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Polyplectron"
"Pavo cristatus";"22679435";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Pavo"
"Lyrurus mlokosiewiczi";"22679483";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Lyrurus"
"Tetrao urogalloides";"22679491";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Tetrao"
"Centrocercus urophasianus";"22679503";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Centrocercus"
